facilityID,name,description
"101", "PRRC 101", "Lecture Room 101"
"102", "PRRC 102", "Lecture Room 102"
"103", "PRRC 103", "Lecture Room 103"
"104", "PRRC 104", "IOB Simulation Room"
"105", "PRRC 105", "Lecture Room 105"
"106", "PRRC 106", "Lecture Room 106"
"107", "PRRC 107", "Lecture Room 107"
"108", "PRRC 108", "Lecture Room 108"
"201", "PRRC 201", "Lecture Room 201"
"202", "PRRC 202", "Lecture Room 202"
"203", "PRRC 203", "Lecture Room 203"
"204", "PRRC 204", "Engineering Professional Laboratory"
"205", "PRRC 205", "Educational Technology Room"
"206", "PRRC 206", "Lecture Room 206"
"207", "PRRC 207", "Lecture Room 207"
"208", "PRRC 208", "Lecture Room 208"
"209", "PRRC 209", "Lecture Room 209"
"301", "Predac", "Library Extension"
"302", "Lab 1", "Computer Laboratory 1"
"303", "PRRC 303", "Office of the Property and Supply"
"304", "Lab 2", "Computer Laboratory 2"
"305", "PRRC 305", "Lecture Room 305"
"306", "ICTO", "Information and Communication Technology Office"
"307", "PRRC 307", "Lecture Room 307"
"308", "PRRC 308", "Lecture Room 308"
"309", "PRRC 309", "Lecture Room 309"
"310", "PRRC 310", "Lecture Room 310"
"COURT", "Covered Court", "Colegio de Montalban Covered Court"
"FH", "Function Hall", "Events Sports and other Functions Hall"
